,sentence,all_sents,extractions,augmented_exts,ctime,etime
0,कार्यरूप जगत को देखकर ही शक्तिरूपी माया की सििद्ध होती है .,['कार्यरूप जगत को देखकर ही शक्तिरूपी माया की सििद्ध होती है .'],"[[['शक्तिरूपी माया की', 'सििद्ध होती है', 'कार्यरूप जगत को देखकर ही']]]",[[]],[0.143],[0.0]
1,अखिल भारतीय पुलिस डयूटी मीट ( 1958 से ) में अंगुलि चिह्न विज्ञान प्रतियोगिता आयोजित करना .,['अखिल भारतीय पुलिस डयूटी मीट ( 1958 से ) में अंगुलि चिह्न विज्ञान प्रतियोगिता आयोजित करना .'],"[[['अंगुलि चिह्न विज्ञान प्रतियोगिता', 'आयोजित करना', 'अखिल भारतीय पुलिस डयूटी मीट'], ['अखिल भारतीय पुलिस डयूटी मीट', 'property', '( 1958 से  )']]]",[[]],[0.074],[0.0]
2,केन्द्रीय सरकार के विभागों एवं भारत सरकार के उपक्रमों द्वारा भेजे गए विवादित अंगुलि चिह्नों का परीक्षण करना .,['केन्द्रीय सरकार के विभागों एवं भारत सरकार के उपक्रमों द्वारा भेजे गए विवादित अंगुलि चिह्नों का परीक्षण करना .'],"[[['विवादित अंगुलि चिह्नों का', 'भेजे गए', 'उपक्रमों द्वारा'], ['उपक्रमों द्वारा', 'property', 'विभागों'], ['विभागों', 'property', 'केन्द्रीय सरकार के'], ['भारत सरकार के', 'property', 'केन्द्रीय सरकार के']]]","[[['उपक्रमों द्वारा', 'property विभागों', 'केन्द्रीय सरकार के'], ['विभागों', 'property केन्द्रीय सरकार के', 'भारत सरकार के']]]",[0.07],[0.0]
3,007 के गुप्त नाम से प्रसिद्ध यह एजेंट फ़्लेमिंग की बारह पुस्तकों व दो लघुकथाओं में मौजूद है .,['007 के गुप्त नाम से प्रसिद्ध यह एजेंट फ़्लेमिंग की बारह पुस्तकों व दो लघुकथाओं में मौजूद है .'],"[[['यह एजेंट', 'मौजूद है', 'बारह पुस्तकों'], ['गुप्त नाम से', 'property', '007 के'], ['बारह पुस्तकों', 'property', 'फ़्लेमिंग की'], ['दो लघुकथाओं में', 'property', 'फ़्लेमिंग की']]]","[[['बारह पुस्तकों', 'property फ़्लेमिंग की', 'दो लघुकथाओं में']]]",[0.073],[0.001]
4,01 अगस्त 1907 को उन्होंने अपनी एक पत्रिका ' साधु ' शुरू की .,"[""01 अगस्त 1907 को उन्होंने अपनी एक पत्रिका ' साधु ' शुरू की .""]","[[['उन्होंने', 'की', ""एक पत्रिका ' साधु ' शुरू""], ['01 अगस्त 1907 को', 'की', 'उन्होंने'], [""एक पत्रिका ' साधु ' शुरू"", 'property', 'अपनी']]]","[[[""एक पत्रिका ' साधु ' शुरू"", 'उन्होंने की', '01 अगस्त 1907 को']]]",[0.073],[0.0]
5,01 अप्रैल 2009 से कंपनी में नवीनतम वेतनमानों को लागू किया गया है .,['01 अप्रैल 2009 से कंपनी में नवीनतम वेतनमानों को लागू किया गया है .'],"[[['नवीनतम वेतनमानों को', 'लागू किया गया है', '01 अप्रैल 2009 से'], ['कंपनी में', 'लागू किया गया है', 'नवीनतम वेतनमानों को']]]","[[['01 अप्रैल 2009 से', 'नवीनतम वेतनमानों को लागू किया गया है', 'कंपनी में']]]",[0.073],[0.0]
6,01 जून : गोधरा ट्रेन कांड की सुनवाई अहमदाबाद के साबरमती केंद्रीय जेल के अंदर शुरू हुई .,['01 जून : गोधरा ट्रेन कांड की सुनवाई अहमदाबाद के साबरमती केंद्रीय जेल के अंदर शुरू हुई .'],"[[['सुनवाई', 'शुरू हुई', 'साबरमती केंद्रीय जेल के अंदर'], ['सुनवाई', 'property', 'गोधरा ट्रेन कांड की'], ['गोधरा ट्रेन कांड की', 'property', '01 जून :'], ['साबरमती केंद्रीय जेल के अंदर', 'property', 'अहमदाबाद के']]]","[[['सुनवाई', 'property गोधरा ट्रेन कांड की', '01 जून :']]]",[0.071],[0.0]
7,06 अक्टूबर 1989 को वे सर्वोच्च न्यायालय की न्यायाधीश नियुक्त हुई .,['06 अक्टूबर 1989 को वे सर्वोच्च न्यायालय की न्यायाधीश नियुक्त हुई .'],"[[['वे', 'नियुक्त हुई', 'न्यायाधीश'], ['06 अक्टूबर 1989 को', 'नियुक्त हुई', 'वे'], ['न्यायाधीश', 'property', 'सर्वोच्च न्यायालय की']]]","[[['न्यायाधीश', 'वे नियुक्त हुई', '06 अक्टूबर 1989 को']]]",[0.075],[0.0]
8,06 प्रतिशत ऐसे लोग थे जिनका कोई विशेष धर्म नहीं था .,['06 प्रतिशत ऐसे लोग थे जिनका कोई विशेष धर्म नहीं था .'],"[[['06 प्रतिशत', 'ऐसे लोग थे', 'जिनका कोई विशेष धर्म नहीं था']]]",[[]],[0.071],[0.0]
9,1 अक्टूबर 1854 को इम्पीरियल पोस्टल सर्विस द्वारा पहला डाक टिकट जारी किया गया .,['1 अक्टूबर 1854 को इम्पीरियल पोस्टल सर्विस द्वारा पहला डाक टिकट जारी किया गया .'],"[[['इम्पीरियल पोस्टल सर्विस द्वारा', 'जारी किया गया', 'पहला डाक टिकट'], ['1 अक्टूबर 1854 को', 'जारी किया गया', 'इम्पीरियल पोस्टल सर्विस द्वारा']]]","[[['पहला डाक टिकट', 'इम्पीरियल पोस्टल सर्विस द्वारा जारी किया गया', '1 अक्टूबर 1854 को']]]",[0.076],[0.0]
